Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadoop,spark,aws,tableau,big_data,job_simp,seniority
Data Scientist,212-331 ,4,Comtech Global Inc,"Washington, DC","Columbus, OH",51 to 200 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$5 to $10 million (USD),212,331,271, DC,0,-1,1,0,1,1,1,1,0,data scientist,na
Data Scientist,212-331 ,3.8,"Aveshka, Inc.","Washington, DC","Arlington, VA",51 to 200 employees,Company - Public,IT Services,Information Technology,$10 to $25 million (USD),212,331,271, DC,0,10,1,1,0,1,0,0,1,data scientist,na
"Manager, Field Application Scientist, Southeast",212-331 ,4.2,10x Genomics,"Raleigh, NC","Pleasanton, CA",501 to 1000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,212,331,271, NC,0,8,0,1,0,0,0,0,0,manager,na
COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING,212-331 ,3.9,Southwest Research Institute,"Dayton, OH","San Antonio, TX",1001 to 5000 employees,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),212,331,271, OH,0,73,1,1,0,0,0,0,0,na,na
Data Scientist,212-331 ,0,CompuForce,"New York, NY","New York, NY",Unknown,Company - Private,-1,-1,Unknown / Non-Applicable,212,331,271, NY,1,-1,0,1,1,1,1,0,1,data scientist,na
Data Scientist,212-331 ,4.5,Smith Hanley Associates,"Washington, DC","New York, 061",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,212,331,271, DC,0,40,1,0,0,0,0,0,0,data scientist,na
Scientist - Machine Learning,212-331 ,3.5,Allen Institute,"Seattle, WA","Seattle, WA",201 to 500 employees,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),212,331,271, WA,1,17,0,0,0,0,0,0,0,mle,na
Data Scientist,212-331 ,2.7,1-800-Flowers,"New York, NY","Carle Place, NY",1001 to 5000 employees,Company - Public,Wholesale,Business Services,$1 to $2 billion (USD),212,331,271, NY,0,44,1,1,0,0,0,1,0,data scientist,na
Data Scientist,212-331 ,3.5,Aptive,"Washington, DC","Alexandria, VA",51 to 200 employees,Company - Private,Consulting,Business Services,$25 to $50 million (USD),212,331,271, DC,0,8,1,1,0,0,0,1,0,data scientist,na
Data Scientist - Image and Video Analytics,66-112 ,4.9,The Mom Project,"Longmont, CO","Chicago, IL",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,66,112,89, CO,0,4,1,0,1,1,1,0,0,data scientist,na
Data Scientist,66-112 ,3.6,Powertek,"Washington, DC","Rockville, MD",51 to 200 employees,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),66,112,89, DC,0,19,0,0,0,0,0,0,0,data scientist,na
Data Scientist,66-112 ,5,JCD Staffing,"Washington, DC","Germantown, MD",1 to 50 employees,Company - Private,-1,-1,Unknown / Non-Applicable,66,112,89, DC,0,-1,1,1,0,0,0,1,0,data scientist,na
Data Scientist,66-112 ,3.1,Bayside Solutions,"Sunnyvale, CA","Pleasanton, CA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),66,112,89, CA,0,19,1,1,0,0,0,1,0,data scientist,na
Senior Data Engineer,66-112 ,3.9,Thumbtack,"San Francisco, CA","San Francisco, CA",501 to 1000 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,66,112,89, CA,1,11,1,1,0,0,1,0,0,data engineer,senior
Data Scientist,66-112 ,3.4,"MILVETS Systems Technology, Inc.","Patuxent, Anne Arundel, MD","Orlando, FL",51 to 200 employees,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),66,112,89, MD,0,34,0,1,0,0,0,0,0,data scientist,na
Machine Learning Scientist / Engineer,66-112 ,4.1,Apple,"Santa Clara, CA","Cupertino, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),66,112,89, CA,0,44,0,0,0,0,0,0,0,mle,na
Data Scientist,66-112 ,4.1,Kforce,"Fairfax, VA","Tampa, FL",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),66,112,89, VA,0,54,0,0,0,0,0,0,0,data scientist,na
Sr. Data Scientist,66-112 ,3.5,Evolve Vacation Rental,"Denver, CO","Denver, CO",201 to 500 employees,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,66,112,89, CO,1,9,1,0,0,0,0,0,0,data scientist,senior
"Intelligence Data Analyst, Senior",66-112 ,4.3,The Buffalo Group,"Fort Belvoir, VA","Reston, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),66,112,89, VA,0,10,1,0,0,0,0,0,0,analyst,senior
Data Science Analyst,66-112 ,4.4,OppLoans,"Chicago, IL","Chicago, IL",201 to 500 employees,Company - Private,Lending,Finance,$100 to $500 million (USD),66,112,89, IL,1,8,1,0,0,0,0,0,0,analyst,na
Data Scientist,66-112 ,3.8,AgreeYa Solutions,"Thousand Oaks, CA","Folsom, CA",1001 to 5000 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),66,112,89, CA,0,21,1,1,0,0,0,0,0,data scientist,na
Data Scientist,66-112 ,3.7,Carolina Power & Light Co,"McLean, VA","Raleigh, NC",5001 to 10000 employees,Subsidiary or Business Segment,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,66,112,89, VA,0,112,1,1,0,0,0,0,1,data scientist,na
COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - TRANSPORTATION TECHNOLOGY,66-112 ,3.9,Southwest Research Institute,"San Antonio, TX","San Antonio, TX",1001 to 5000 employees,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),66,112,89, TX,1,73,1,1,0,0,0,0,0,na,na
